,index,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_010E,B03002_011E,B03002_012E,B03002_013E,B03002_014E,B03002_015E,B03002_016E,B03002_017E,B03002_018E,B03002_019E,B03002_020E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E
1102,"Census Tract 8157.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:815701",3675,1893,165,103,195,47,38,8,8,53,3675,3199,3123,35,0,34,0,7,0,0,0,476,340,0,0,0,0,93,43,9,2522,19,0,0,0,0,0,0,0,0,0,0,0,10,7,17,321,34,112,243,90,958,356,272,83
1103,"Census Tract 8167, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:816700",2826,1427,163,56,116,59,44,14,15,56,2826,768,426,246,0,83,0,6,7,0,7,2058,1220,0,0,13,0,773,52,52,1783,81,0,0,0,0,37,9,12,135,55,45,41,29,24,33,556,74,105,257,126,134,19,6,5
1104,"Census Tract 8262.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:826202",5361,2039,163,165,202,48,49,20,35,123,5361,4473,839,3527,0,0,0,0,107,52,55,888,795,0,0,0,0,77,16,16,3312,0,0,0,0,0,0,0,9,8,0,21,80,23,219,72,957,79,372,610,395,328,88,25,26
1105,"Census Tract 8266, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:826600",5965,2890,445,145,326,66,119,69,68,26,5965,5807,212,5435,0,19,0,0,141,0,141,158,26,87,0,0,0,23,22,0,3720,107,0,0,0,17,0,0,0,33,0,0,59,85,73,97,1049,170,349,835,271,411,154,0,10
1106,"Census Tract 8171.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:817102",3347,1651,48,102,119,79,62,12,21,76,3347,2958,349,2452,0,0,0,100,57,0,57,389,349,40,0,0,0,0,0,0,2231,0,0,0,0,0,0,0,0,45,0,73,34,0,84,36,595,167,199,503,159,204,121,0,11
1107,"Census Tract 8173, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:817300",2329,1040,85,99,154,92,36,22,0,35,2329,1941,54,1785,0,0,0,0,102,0,102,388,137,0,0,0,0,251,0,0,1410,25,0,0,0,0,0,0,0,46,5,29,0,12,94,49,479,99,80,208,154,67,38,25,0
1108,"Census Tract 8191, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:819100",4738,2441,285,153,237,85,52,22,80,82,4738,2597,2078,325,0,78,0,0,116,0,116,2141,1696,15,0,0,0,318,112,51,3110,29,0,0,36,0,0,12,55,26,0,117,51,85,56,82,749,202,172,532,208,411,225,54,8
1109,"Census Tract 208.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:020801",5211,2707,127,102,228,96,54,27,81,79,5211,3798,2276,110,0,1210,0,0,202,0,202,1413,1374,0,0,0,0,39,0,0,3752,269,0,0,0,0,62,89,30,224,36,28,19,73,52,104,414,134,153,508,356,676,380,133,12
1110,"Census Tract 307.06, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:030706",4270,2300,171,0,47,0,0,0,0,15,4270,3974,2306,641,0,967,0,0,60,8,52,296,281,0,0,0,0,15,0,0,3772,34,0,0,0,0,0,0,15,34,0,144,15,0,50,13,646,13,111,589,37,1206,565,159,141
1111,"Census Tract 402.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:040201",7040,3441,304,156,187,135,66,59,0,136,7040,5346,4050,249,1,796,0,39,211,0,211,1694,797,0,0,0,0,679,218,49,5516,101,0,0,0,0,0,0,0,85,0,90,0,42,0,276,452,138,226,653,229,2337,687,148,52
