,GEOID,total_pop,medhhinc,year,share_BA+,a35to64_share
202,17031420200,1707,31399,2010-14,43.8,37.400000000000006
203,17031420300,2275,33362,2010-14,45.7,20.7
204,17031420400,1216,18263,2010-14,54.2,29.599999999999998
205,17031420500,2099,24479,2010-14,12.8,38.6
206,17031420600,2056,18179,2010-14,12.4,27.0
207,17031420700,3050,26409,2010-14,4.6,36.8
208,17031420800,2292,23445,2010-14,14.2,35.800000000000004
209,17031421200,1707,27212,2010-14,24.5,34.800000000000004
210,17031430101,3913,29423,2010-14,11.6,37.599999999999994
211,17031430102,3414,26596,2010-14,25.4,33.900000000000006
212,17031430200,4927,20564,2010-14,19.4,37.8
213,17031430300,2262,23333,2010-14,17.2,32.599999999999994
214,17031430400,3119,22940,2010-14,24.0,38.6
215,17031430500,3661,24778,2010-14,14.1,36.2
216,17031430600,1742,29435,2010-14,36.9,31.299999999999997
217,17031430700,2480,30500,2010-14,27.7,43.6
218,17031430800,1692,34939,2010-14,22.7,52.10000000000001
219,17031430900,1345,25068,2010-14,10.6,48.0
220,17031431200,3291,54712,2010-14,15.5,45.6
221,17031431301,3421,22234,2010-14,6.6,37.7
222,17031431302,3401,20332,2010-14,9.6,35.49999999999999
223,17031431400,5850,27139,2010-14,18.2,46.6
224,17031440101,3747,28381,2010-14,5.9,41.7
225,17031440102,3156,22054,2010-14,9.4,40.4
226,17031440201,5343,35861,2010-14,5.2,37.6
227,17031440202,3604,27128,2010-14,28.5,37.300000000000004
228,17031440300,4455,53224,2010-14,27.7,47.300000000000004
229,17031440600,2056,44602,2010-14,19.3,44.1
230,17031440700,1501,44250,2010-14,23.8,44.1
231,17031440800,1777,20104,2010-14,26.9,40.2
232,17031440900,2480,38500,2010-14,22.3,36.0
233,17031450300,3716,40781,2010-14,17.3,41.2
234,17031460100,3614,32267,2010-14,12.8,36.900000000000006
235,17031460200,2626,28649,2010-14,5.0,29.7
236,17031460301,2639,34650,2010-14,11.2,44.8
237,17031460302,3506,20981,2010-14,10.4,34.099999999999994
238,17031460400,3154,42697,2010-14,18.6,40.4
239,17031460500,4798,41145,2010-14,9.3,41.2
240,17031460600,1107,25694,2010-14,5.4,40.800000000000004
241,17031460700,2901,20900,2010-14,10.0,23.299999999999997
242,17031461000,2034,13624,2010-14,9.7,31.2
243,17031470100,2618,25417,2010-14,8.2,37.5
244,17031480100,2045,61382,2010-14,23.6,41.099999999999994
245,17031480200,1157,35417,2010-14,18.0,41.099999999999994
246,17031480300,1192,54405,2010-14,27.2,40.1
247,17031480400,6106,55603,2010-14,26.4,46.199999999999996
248,17031480500,2900,46667,2010-14,22.3,37.2
249,17031490300,2290,49018,2010-14,27.4,40.8
250,17031490400,972,53971,2010-14,24.0,38.0
251,17031490500,2340,55123,2010-14,26.6,39.1
252,17031490600,1452,41384,2010-14,17.3,41.1
253,17031490700,2888,37368,2010-14,10.9,36.199999999999996
254,17031490800,3769,37891,2010-14,9.1,37.0
255,17031490901,4215,33996,2010-14,16.3,39.1
256,17031490902,4825,41377,2010-14,13.6,39.400000000000006
257,17031491000,5536,24683,2010-14,9.8,30.5
258,17031491100,4577,49032,2010-14,20.9,34.7
259,17031491200,2746,44500,2010-14,7.3,35.9
260,17031491300,2343,27917,2010-14,5.7,40.6
261,17031491400,2698,27434,2010-14,10.0,38.5
262,17031500100,3314,45190,2010-14,12.8,41.0
263,17031500200,2091,29297,2010-14,14.3,37.2
264,17031500300,1565,34875,2010-14,25.5,49.400000000000006
265,17031510100,3646,30020,2010-14,0.8,35.5
266,17031510200,2655,41719,2010-14,10.0,43.6
267,17031510300,6037,35786,2010-14,13.5,38.4
268,17031520100,2278,34583,2010-14,6.6,35.9
269,17031520200,3987,34219,2010-14,3.2,29.9
270,17031520300,6116,44231,2010-14,7.8,32.1
271,17031520400,3735,45125,2010-14,15.9,43.400000000000006
272,17031520500,4613,67009,2010-14,14.5,41.5
273,17031520600,3010,39949,2010-14,10.3,36.300000000000004
274,17031530100,2091,21250,2010-14,9.2,33.199999999999996
275,17031530200,4893,23634,2010-14,5.0,29.7
276,17031530300,4453,38177,2010-14,10.9,36.5
277,17031530400,2017,51167,2010-14,17.7,39.3
278,17031530501,5192,39366,2010-14,17.1,38.1
279,17031530502,1495,41250,2010-14,16.0,35.5
280,17031530503,5147,42355,2010-14,9.2,40.3
281,17031530600,2872,26583,2010-14,2.3,40.2
282,17031540101,3922,14005,2010-14,2.4,27.7
283,17031540102,3268,14932,2010-14,0.0,24.3
284,17031550100,6759,44824,2010-14,17.5,36.5
285,17031550200,2579,61316,2010-14,20.4,46.6
286,17031560100,1263,51719,2010-14,11.6,38.2
287,17031560200,1510,36339,2010-14,9.4,32.800000000000004
288,17031560300,3174,57300,2010-14,14.5,36.7
289,17031560400,1417,50284,2010-14,23.3,39.199999999999996
290,17031010100,4189,30798,2010-14,32.8,44.0
291,17031010201,7083,40532,2010-14,35.5,39.5
292,17031010202,2502,25250,2010-14,37.1,42.699999999999996
293,17031010300,6213,42606,2010-14,30.5,41.199999999999996
294,17031010400,4730,38531,2010-14,70.0,28.400000000000002
295,17031010501,3831,26157,2010-14,50.3,42.7
296,17031010502,3690,33340,2010-14,45.6,34.2
297,17031010503,2228,21530,2010-14,47.2,24.4
298,17031010600,6513,42246,2010-14,39.4,44.400000000000006
299,17031010701,3946,54765,2010-14,38.5,38.900000000000006
300,17031010702,5274,36967,2010-14,40.0,37.60000000000001
301,17031020100,3990,51069,2010-14,37.0,44.5
302,17031020200,6255,88476,2010-14,50.4,44.0
303,17031020301,5239,49332,2010-14,51.9,31.1
304,17031020302,4651,57765,2010-14,51.6,41.6
305,17031020400,4294,62847,2010-14,44.5,45.699999999999996
306,17031020500,6004,38173,2010-14,29.1,35.3
307,17031020601,6697,50000,2010-14,42.5,34.300000000000004
308,17031020602,4102,44702,2010-14,44.7,38.7
309,17031020701,1893,72368,2010-14,40.1,38.4
310,17031020702,8232,47571,2010-14,27.5,33.199999999999996
311,17031020801,4512,56027,2010-14,35.6,46.6
312,17031020802,7942,53356,2010-14,44.6,37.1
313,17031020901,5013,37409,2010-14,37.2,34.0
314,17031020902,4195,38320,2010-14,28.8,43.699999999999996
315,17031030101,3727,39443,2010-14,59.3,45.599999999999994
316,17031030102,2956,40849,2010-14,47.7,48.5
317,17031030103,2238,34444,2010-14,46.8,38.6
318,17031030104,3688,38246,2010-14,42.4,24.099999999999998
319,17031030200,5274,58625,2010-14,63.2,45.2
320,17031030300,3049,36520,2010-14,32.5,41.49999999999999
321,17031030400,2683,41736,2010-14,50.3,37.1
322,17031030500,6269,63906,2010-14,56.6,43.3
323,17031030601,3538,36413,2010-14,39.4,44.0
324,17031030603,2048,29017,2010-14,47.6,35.2
325,17031030604,2961,38300,2010-14,63.5,49.6
326,17031030701,1734,34375,2010-14,44.5,47.199999999999996
327,17031030702,1460,48578,2010-14,68.3,40.2
328,17031030703,2579,41373,2010-14,59.9,42.1
329,17031030706,3460,37857,2010-14,55.8,39.8
330,17031030800,4405,64736,2010-14,63.6,43.300000000000004
331,17031030900,3207,76759,2010-14,60.6,47.6
332,17031031000,3522,63333,2010-14,65.5,45.099999999999994
333,17031031100,4136,65204,2010-14,71.6,48.0
334,17031031200,4860,14643,2010-14,34.3,52.3
335,17031031300,7543,34453,2010-14,50.1,40.300000000000004
336,17031031400,5260,67100,2010-14,75.1,43.5
337,17031031501,3430,26862,2010-14,44.8,41.0
338,17031031502,4386,23598,2010-14,32.6,40.4
339,17031031700,6525,41537,2010-14,53.8,43.9
340,17031031800,1717,48672,2010-14,68.1,38.5
341,17031031900,2355,69333,2010-14,59.3,42.800000000000004
342,17031032100,6767,48625,2010-14,63.8,35.1
343,17031040100,3998,61806,2010-14,44.3,46.0
344,17031040201,6195,57568,2010-14,57.7,37.5
345,17031040202,6691,37178,2010-14,34.3,41.4
346,17031040300,2656,84750,2010-14,53.9,45.699999999999996
347,17031040401,2836,66215,2010-14,54.0,41.5
348,17031040402,4701,64153,2010-14,72.2,38.8
349,17031040600,2684,69479,2010-14,63.7,40.7
350,17031040700,3353,73556,2010-14,58.4,48.7
351,17031040800,1815,72625,2010-14,63.0,36.5
352,17031040900,2118,68472,2010-14,68.1,36.5
353,17031050100,2406,74875,2010-14,62.8,37.7
354,17031050200,5120,71514,2010-14,53.6,41.5
355,17031050300,2566,86023,2010-14,54.2,41.7
356,17031050500,5365,95741,2010-14,70.9,42.1
357,17031050600,2414,84063,2010-14,79.4,28.800000000000004
358,17031050700,1753,127222,2010-14,72.8,38.699999999999996
359,17031050800,1427,116750,2010-14,77.4,36.1
360,17031050900,1660,83500,2010-14,77.8,35.199999999999996
361,17031051000,1610,94479,2010-14,62.3,37.300000000000004
362,17031051100,1526,77316,2010-14,71.8,36.49999999999999
363,17031051200,1562,96484,2010-14,77.3,29.4
364,17031051300,2953,132500,2010-14,86.1,36.9
365,17031051400,2174,78790,2010-14,51.1,33.6
366,17031060100,2596,105952,2010-14,80.1,42.3
